drug_id,name,drug_cell_efficacy,drug_animal_efficacy,rationale
20212,verubecestat,0,0,"cutoff<2012: 0 PubMed-indexed pre-trial abstracts under verubecestat/MK-8931. Preclinical efficacy (Kennedy Sci Transl Med) published 2016, AFTER first-in-human ~2012."
11898,torcetrapib,0,0,"cutoff<2004: 1 hit (PMID 14596646) is a dyslipidaemia review mentioning CETP inhibitors in development; no drug-specific cell or animal efficacy result for torcetrapib in the abstract."
11151,semagacestat,0,0,"cutoff<2005: 0 PubMed-indexed pre-trial abstracts under semagacestat/LY450139. Drug-specific preclinical efficacy indexed later."
16167,solanezumab,1,3,"cutoff<2007: 6 hits on m266 (murine solanezumab precursor). Animal=3: multiple PDAPP transgenic-mouse studies, memory-deficit reversal (PMID 11941374), brain Abeta clearance (11438712, 11910111), cholinergic reversal (16498501) - multiple independent disease-relevant rodent readouts. Cell=1: one in-vitro AFM fibrillogenesis result (14698294), no cell-line/iPSC/organoid. (PMID 10991923 GABA-A is a false-positive m266 match, ignored.)"
18800,theralizumab,0,0,"cutoff<2006 (TGN1412): 1 hit, efetch returned no scoreable abstract. Cynomolgus safety + in-vitro T-cell data were largely in the trial dossier, not PubMed-indexed pre-trial."
999001,fialuridine,2,2,"cutoff<1993 (FIAU): 52 hits/20 fetched on 2'-fluoro nucleosides. Cell=2: repeated in-vitro antiviral IC50 / polymerase-inhibition data for FIAU across herpesviruses and hepadnavirus context. Animal=2: hepadnavirus animal models (duck/woodchuck HBV, PMID 1629711/2334160) and mouse HSV efficacy - though several used the analogs FIAC/FMAU rather than FIAU itself, so disease-relevant animal efficacy for the exact drug is partial. NB the 1990 woodchuck abstract already flagged severe toxicity."
999101,sofosbuvir,0,0,"cutoff<2010 (PSI-7977/GS-7977): 0 pre-trial abstracts. Discovery/efficacy paper (Sofia JMC) published 2010, concurrent with first-in-human - not before."
999102,sitagliptin,0,0,"cutoff<2003 (MK-0431): 0 pre-trial abstracts. Preclinical characterization (Kim JMC) published 2005, after first trials."
999103,maraviroc,0,0,"cutoff<2003 (UK-427857): 0 pre-trial abstracts. Preclinical profile (Dorr AAC) published 2005, after first-in-human ~2003-2004."
999104,palbociclib,3,2,"cutoff<2009 (PD-0332991): 6 hits, strong. Cell=3: full panel - Cdk4/6 selectivity + Rb+ tumor-cell antiproliferation (PMID 15542782/15801831), 6-line rhabdomyosarcoma panel (16731763), primary human myeloma cells (16885367). Animal=2: Colo-205 xenograft regression (15542782), 5T33MM myeloma model (18632601) - multiple rodent xenografts, no non-rodent."
999105,venetoclax,0,0,"cutoff<2011 (ABT-199/GDC-0199): 0 pre-trial abstracts. Preclinical efficacy (Souers Nat Med) published 2013, after first-in-human 2011. (Predecessors ABT-737/navitoclax are distinct compounds.)"
999106,tofacitinib,1,3,"cutoff<2004 (CP-690,550): 2 hits. Animal=3: murine heart-transplant survival + cynomolgus-MONKEY kidney-transplant survival (PMID 14593182) - rodent AND non-rodent, disease-relevant. Cell=1: JAK3-inhibition selectivity concept only (14758768), no cell-efficacy panel in the abstracts."
