symbol,indication,therapeutic_area,aliases,note
GALR1,Epilepsy,neuro,,GalR1 Gi/cAMP seizure-model thesis
GALR2,Epilepsy,neuro,,GalR2 Gq/IP1 same program
SSTR1,Sleep Disorders,other,Narcolepsy|Insomnia|Obstructive sleep apnea,no exact OT term for the indication
SSTR2,Sleep Disorders,other,Narcolepsy|Insomnia|Obstructive sleep apnea,note: SSTR2 already has approved NET drugs (different indication)
SSTR3,Sleep Disorders,other,Narcolepsy|Insomnia|Obstructive sleep apnea,
SSTR4,Sleep Disorders,other,Narcolepsy|Insomnia|Obstructive sleep apnea,
SSTR5,Sleep Disorders,other,Narcolepsy|Insomnia|Obstructive sleep apnea,
APLNR,Sarcopenia,other,,muscle-aging reframe
C3AR1,Heart Failure,cv,,indication thesis unresolved; legacy candidate only
SIK3,Idiopathic Hypersomnia,other,,Sleepy-mouse lineage real IH precedent
BHLHE41,Sleep Disorders,other,Narcolepsy|Insomnia|Obstructive sleep apnea,no established disease indication -- placeholder only
